il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
VAN;BAHÇESARAY;AKYAYLA;AKYAYLA 1 SOKAK;sokak;462870820
VAN;BAHÇESARAY;AKYAYLA;AKYAYLA 2 SOKAK;sokak;673317850
VAN;BAHÇESARAY;AKYAYLA;AKYAYLA 3 SOKAK;sokak;779956110
VAN;BAHÇESARAY;AKYAYLA;AKYAYLA SOKAK;sokak;698215
VAN;BAHÇESARAY;AKYAYLA;AŞAĞI KÖY SOKAK;sokak;697448
VAN;BAHÇESARAY;AKYAYLA;KONUK SOKAK;sokak;695103
VAN;BAHÇESARAY;AKYAYLA;KÜÇÜKKÖY SOKAK;sokak;75496
VAN;BAHÇESARAY;ALTINDERE;ALTINDERE KÜME EVLER;sokak;681389
VAN;BAHÇESARAY;ALTINDERE;DİKMETAŞ SOKAK;sokak;686818
VAN;BAHÇESARAY;ALTINDERE;KIRIKHAN KÜME EVLER;sokak;682706
VAN;BAHÇESARAY;ALTINTAS;ALTINTAS KÜME EVLER;sokak;469564
VAN;BAHÇESARAY;ALTINTAS;ALTINTAS/1 SOKAK;sokak;553888210
VAN;BAHÇESARAY;ALTINTAS;PINARBAŞI SOKAK;sokak;417030
VAN;BAHÇESARAY;ARVAS;ARVAS KÜME EVLER;sokak;683098
VAN;BAHÇESARAY;ARVAS;HATİPOĞLU KÜME EVLER;sokak;395321
VAN;BAHÇESARAY;ARVAS;İRİ KÖY KÜME EVLER;sokak;136929340
VAN;BAHÇESARAY;ARVAS;SAKIZ KÜME EVLER;sokak;680718
VAN;BAHÇESARAY;ARVAS;SARAY_1 SOKAK;sokak;139644811
VAN;BAHÇESARAY;ARVAS;TRAKYA SOKAK;sokak;111008
VAN;BAHÇESARAY;ARVAS;ULUBEYLİ KÜME EVLER;sokak;757307540
VAN;BAHÇESARAY;ARVAS;VELİGÖL KÜME EVLER;sokak;193029
VAN;BAHÇESARAY;BAĞCILAR;AKDERE SOKAK;sokak;699989
VAN;BAHÇESARAY;BAĞCILAR;BAĞCILAR 1 SOKAK;sokak;124512250
VAN;BAHÇESARAY;BAĞCILAR;BAĞCILAR 2 SOKAK;sokak;339275750
