il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
YALOVA;ALTINOVA;AHMEDİYE NA;AHMEDİYE SOKAK;sokak;504035
YALOVA;ALTINOVA;AHMEDİYE NA;ARA SOKAK;sokak;1030266
YALOVA;ALTINOVA;AHMEDİYE NA;BAHÇELIK SOKAK;sokak;1030264
YALOVA;ALTINOVA;AHMEDİYE NA;BALKAN SOKAK;sokak;1030262
YALOVA;ALTINOVA;AHMEDİYE NA;ÇEŞME SOKAK;sokak;1030258
YALOVA;ALTINOVA;AHMEDİYE NA;HACILAR SOKAK;sokak;1030260
YALOVA;ALTINOVA;AHMEDİYE NA;KIRIKLIK SOKAK;sokak;545235501
YALOVA;ALTINOVA;AHMEDİYE NA;KORU SOKAK;sokak;1030254
YALOVA;ALTINOVA;AHMEDİYE NA;MECIDIYE SOKAK;sokak;1030252
YALOVA;ALTINOVA;AHMEDİYE NA;OSMANLI SOKAK;sokak;1030256
YALOVA;ALTINOVA;AHMEDİYE NA;TINGILTEPE SOKAK;sokak;1040268
YALOVA;ALTINOVA;AHMEDİYE NA;VAKIF SOKAK;sokak;334008541
YALOVA;ALTINOVA;AKTOPRAK NA;AKTOPRAK SOKAK;sokak;491908
YALOVA;ALTINOVA;AKTOPRAK NA;ALTINTAŞ SOKAK;sokak;1030278
YALOVA;ALTINOVA;AKTOPRAK NA;BAĞDAT. SOKAK;sokak;1030268
YALOVA;ALTINOVA;AKTOPRAK NA;GUAŞ ÇAVUŞ SOKAK;sokak;1030270
YALOVA;ALTINOVA;AKTOPRAK NA;HARITA SOKAK;sokak;122119180
YALOVA;ALTINOVA;AKTOPRAK NA;KÖRDERE SOKAK;sokak;697955240
YALOVA;ALTINOVA;AKTOPRAK NA;KUBE ASLAN SOKAK;sokak;307822540
YALOVA;ALTINOVA;AKTOPRAK NA;SAİT BAŞBUĞ SOKAK;sokak;1030284
YALOVA;ALTINOVA;AKTOPRAK NA;ŞHARKO BEKİR BEY SOKAK;sokak;1030282
YALOVA;ALTINOVA;AKTOPRAK NA;TSEY İZZET SOKAK;sokak;1030286
YALOVA;ALTINOVA;AKTOPRAK NA;TSEY ÖZDEMİRLER SOKAK;sokak;1030274
YALOVA;ALTINOVA;AKTOPRAK NA;TSEY YUSUF SOKAK;sokak;1030280
YALOVA;ALTINOVA;AKTOPRAK NA;YB MAHMUT BEY SOKAK;sokak;1030272
YALOVA;ALTINOVA;AKTOPRAK NA;YEDİC KALAMET SOKAK;sokak;1030276
YALOVA;ALTINOVA;CUMHURİYET;1-1. SOKAK;sokak;820835930
YALOVA;ALTINOVA;CUMHURİYET;100. SOKAK;sokak;1073281
YALOVA;ALTINOVA;CUMHURİYET;101. SOKAK;sokak;1073283
YALOVA;ALTINOVA;CUMHURİYET;102. SOKAK;sokak;843163890
YALOVA;ALTINOVA;CUMHURİYET;103. SOKAK;sokak;1073287
YALOVA;ALTINOVA;CUMHURİYET;11-1. SOKAK;sokak;602520
YALOVA;ALTINOVA;CUMHURİYET;110. SOKAK;sokak;1073295
YALOVA;ALTINOVA;CUMHURİYET;112. SOKAK;sokak;331687
YALOVA;ALTINOVA;CUMHURİYET;113. SOKAK;sokak;252848290
YALOVA;ALTINOVA;CUMHURİYET;12-1. SOKAK;sokak;334461
YALOVA;ALTINOVA;CUMHURİYET;13-1. SOKAK;sokak;334797
YALOVA;ALTINOVA;CUMHURİYET;14-1. SOKAK;sokak;334798
YALOVA;ALTINOVA;CUMHURİYET;15. SOKAK;sokak;470156
YALOVA;ALTINOVA;CUMHURİYET;16-1. SOKAK;sokak;146351
YALOVA;ALTINOVA;CUMHURİYET;17 AĞUSTOS CADDE;cadde;424084430
YALOVA;ALTINOVA;CUMHURİYET;17-1. SOKAK;sokak;688385310
YALOVA;ALTINOVA;CUMHURİYET;18-1. SOKAK;sokak;615640
YALOVA;ALTINOVA;CUMHURİYET;19 MAYIS CADDE;cadde;334800
