il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
YOZGAT;AKDAĞMADENİ;ABDURRAHMANLI NA;ABDURRAHMANLI KÜME EVLER;sokak;607587
YOZGAT;AKDAĞMADENİ;ABDURRAHMANLI NA;SIVAS YOZGAT YOLU/1 BULVAR;sokak;301911911
YOZGAT;AKDAĞMADENİ;AĞAÇLI NA;AĞAÇLI KÜME EVLER;sokak;612317
YOZGAT;AKDAĞMADENİ;AHİSHAVİ;1. HANLAR SOKAK;sokak;337258
YOZGAT;AKDAĞMADENİ;AHİSHAVİ;1. SOKAK;sokak;337257
YOZGAT;AKDAĞMADENİ;AHİSHAVİ;10. SOKAK;sokak;337259
YOZGAT;AKDAĞMADENİ;AHİSHAVİ;11. SOKAK;sokak;337260
YOZGAT;AKDAĞMADENİ;AHİSHAVİ;12. SOKAK;sokak;337261
YOZGAT;AKDAĞMADENİ;AHİSHAVİ;13. SOKAK;sokak;337262
YOZGAT;AKDAĞMADENİ;AHİSHAVİ;14. SOKAK;sokak;337263
YOZGAT;AKDAĞMADENİ;AHİSHAVİ;15. SOKAK;sokak;337264
YOZGAT;AKDAĞMADENİ;AHİSHAVİ;16. SOKAK;sokak;337265
YOZGAT;AKDAĞMADENİ;AHİSHAVİ;17. SOKAK;sokak;337266
YOZGAT;AKDAĞMADENİ;AHİSHAVİ;18. SOKAK;sokak;647668
YOZGAT;AKDAĞMADENİ;AHİSHAVİ;180. SOKAK;sokak;934766
YOZGAT;AKDAĞMADENİ;AHİSHAVİ;19. SOKAK;sokak;337267
YOZGAT;AKDAĞMADENİ;AHİSHAVİ;2. HANLAR SOKAK;sokak;337269
YOZGAT;AKDAĞMADENİ;AHİSHAVİ;2. SAKARYA CADDE;cadde;337270
YOZGAT;AKDAĞMADENİ;AHİSHAVİ;2. SOKAK;sokak;337268
YOZGAT;AKDAĞMADENİ;AHİSHAVİ;20. SOKAK;sokak;337271
YOZGAT;AKDAĞMADENİ;AHİSHAVİ;21. SOKAK;sokak;337272
YOZGAT;AKDAĞMADENİ;AHİSHAVİ;22. SOKAK;sokak;48314
YOZGAT;AKDAĞMADENİ;AHİSHAVİ;23. SOKAK;sokak;337273
YOZGAT;AKDAĞMADENİ;AHİSHAVİ;24. SOKAK;sokak;337274
YOZGAT;AKDAĞMADENİ;AHİSHAVİ;3. SOKAK;sokak;337275
YOZGAT;AKDAĞMADENİ;AHİSHAVİ;4. SOKAK;sokak;337276
YOZGAT;AKDAĞMADENİ;AHİSHAVİ;5. SOKAK;sokak;337277
