il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
ZONGULDAK;ALAPLI;AHATLI - MERKEZ;AHATLI KÜME EVLER;sokak;518290
ZONGULDAK;ALAPLI;AHİLER - DÜRGELLİ;DÜRGELİ KÜME EVLER;sokak;506458
ZONGULDAK;ALAPLI;AHİLER - MERKEZ;MERKEZ KÜME EVLER;sokak;494016
ZONGULDAK;ALAPLI;AHİLER - YAĞIŞLI;YAĞIŞLI KÜME EVLER;sokak;506463
ZONGULDAK;ALAPLI;ALAPLIBÖLÜCEK NA;BÖLÜCEK KÜME EVLER;sokak;528477
ZONGULDAK;ALAPLI;ALAPLIKOCAALİ - KADIOĞLU;KOCAALİ KÜME EVLER;sokak;500531
ZONGULDAK;ALAPLI;ALAPLIKOCAALİ - MERKEZ;MERKEZ KÜME EVLER;sokak;500186
ZONGULDAK;ALAPLI;ALAPLIKOCAALİ - PAZARYERİ;PAZARYERİ KÜME EVLER;sokak;499162
ZONGULDAK;ALAPLI;ALAPLIKOCAALİ - TERZİOĞLU;TERZİOĞLU KÜME EVLER;sokak;496057
ZONGULDAK;ALAPLI;ALAPLIORTACI - MERKEZ;MERKEZ KÜME EVLER;sokak;523092
ZONGULDAK;ALAPLI;ALAPLIORTACI - TOŞMANLI;TOŞMANLI KÜME EVLER;sokak;535015
ZONGULDAK;ALAPLI;ALAPLIÖMERLİ - DUMANLAR;DUMANLAR KÜME EVLER;sokak;90894
ZONGULDAK;ALAPLI;ALAPLIÖMERLİ - GÖKÇELER;GÖKÇELER KÜME EVLER;sokak;497457
ZONGULDAK;ALAPLI;ALİOĞLU - AHİLER;AHİLER KÜME EVLER;sokak;478008
ZONGULDAK;ALAPLI;ALİOĞLU - AYDINLI;AYDINLI KÜME EVLER;sokak;480220
ZONGULDAK;ALAPLI;ALİOĞLU - DORUKLU;DORUKLU KÜME EVLER;sokak;481485
ZONGULDAK;ALAPLI;ALİOĞLU - HIDIRLAR;HIDIRLAR KÜME EVLER;sokak;475877
ZONGULDAK;ALAPLI;ALİOĞLU - KATIRCIOĞLU;KATIRCIOĞLU KÜME EVLER;sokak;477554
ZONGULDAK;ALAPLI;ALİOĞLU - KUFALLAR;KUFALLAR1 KÜME EVLER;sokak;484062
ZONGULDAK;ALAPLI;ALİOĞLU - MERKEZ DEĞİRMENCİLER;MERKEZ DEĞİRMENCİLER KÜME EVLER;sokak;117247
ZONGULDAK;ALAPLI;ALİOĞLU - PİRCİOĞLU;PİRCİOĞLU KÜME EVLER;sokak;480207
ZONGULDAK;ALAPLI;ALİOĞLU - SIHLAR;SIHLAR KÜME EVLER;sokak;479644
ZONGULDAK;ALAPLI;ALİOĞLU - SİNANLI;SİNANLI KÜME EVLER;sokak;477605
ZONGULDAK;ALAPLI;ALİOĞLU - YUKARI DEĞİRMENCİLER;YUKARI DEĞİRMENCİLER KÜME EVLER;sokak;475054
ZONGULDAK;ALAPLI;AŞAĞIDAĞKÖY - AŞAĞIDAĞ;AŞAĞIDAĞ KÜME EVLER;sokak;514151
ZONGULDAK;ALAPLI;AŞAĞIDAĞKÖY - ÇANAKÇI;ÇANAKÇI KÜME EVLER;sokak;507418
ZONGULDAK;ALAPLI;AŞAĞIDAĞKÖY - HIDIRLAR;HIDIRLAR KÜME EVLER;sokak;494993
ZONGULDAK;ALAPLI;AŞAĞIDAĞKÖY - MAKAS;MAKAS KÜME EVLER;sokak;507443
ZONGULDAK;ALAPLI;AŞAĞIDAĞKÖY - PAZARYERİ;PAZARYERİ KÜME EVLER;sokak;501858
ZONGULDAK;ALAPLI;AŞAĞIDAĞKÖY - YUKARIDAĞ;YUKARIDAĞ KÜME EVLER;sokak;505219
ZONGULDAK;ALAPLI;AŞAĞIDOĞANCILAR;AKTARILAN KÜME EVLER;sokak;775496
ZONGULDAK;ALAPLI;AŞAĞIDOĞANCILAR;ERTUĞRUL GAZİ CADDE;cadde;213679
ZONGULDAK;ALAPLI;AŞAĞIDOĞANCILAR;TEKKE KÜME EVLER;sokak;513824
ZONGULDAK;ALAPLI;AŞAĞIDOĞANCILAR;YENİ PAZAR SOKAK;sokak;424491
ZONGULDAK;ALAPLI;AŞAĞITEKKE NA;AŞAĞITEKKE KÜME EVLER;sokak;475898
ZONGULDAK;ALAPLI;AYDINYAYLA - GEÇMİŞ ALTI;BEYYATAĞI KÜME EVLER;sokak;505644
ZONGULDAK;ALAPLI;AYDINYAYLA - GEÇMİŞ ALTI;GEÇMİŞ ALTI KÜME EVLER;sokak;493648
ZONGULDAK;ALAPLI;AYDINYAYLA - KARADORUK;KARADORUK KÜME EVLER;sokak;492294
ZONGULDAK;ALAPLI;AYDINYAYLA - MERKEZ;MERKEZ KÜME EVLER;sokak;492254
ZONGULDAK;ALAPLI;BEKTAŞLI - CİNLER;CİNLER KÜME EVLER;sokak;32063
ZONGULDAK;ALAPLI;BEKTAŞLI - KASIRGALI;KASIRGALI KÜME EVLER;sokak;500196
ZONGULDAK;ALAPLI;BEKTAŞLI - MERKEZ;MERKEZ KÜME EVLER;sokak;499885
ZONGULDAK;ALAPLI;BELEN - DEĞİRMENDERE;DEĞİRMENDERE KÜME EVLER;sokak;336829
ZONGULDAK;ALAPLI;BELEN - KARŞIYAKA;DAVUTLAR KÜME EVLER;sokak;180428611
